"No.","Time","Source","Destination","Protocol","Length","Multiplex ID","NT Status","Info"
"70","0.211574","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=48031 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"71","0.211582","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=49491 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"72","0.211589","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"73","0.211596","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=52411 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"74","0.211603","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=53871 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"75","0.211606","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=30511 Win=64240 Len=0"
"76","0.211610","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"77","0.211618","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=56791 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"78","0.211624","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"79","0.211660","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=31971 Win=64240 Len=0"
"80","0.211713","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=33431 Win=64240 Len=0"
"81","0.211774","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=34891 Win=64240 Len=0"
"82","0.211799","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=59711 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"83","0.211808","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=61171 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"84","0.211814","172.16.156.130","10.128.0.243","SMB","1309","65,65","STATUS_SUCCESS,STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000Echo Request"
"85","0.211829","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=36351 Win=64240 Len=0"
"86","0.211883","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=37811 Win=64240 Len=0"
